_line_num,timestamp,kiln_id,clinker_code,_abnormal_level,_abnormal_count,f_cao,strength_3d,strength_28d,specific_surface,soundness,loss_on_ignition,_abnormal_explanation
2,2026-06-01 08:00:00,K1,P·O 42.5,unknown,5,1.8,26.5,48.2,365,合格,2.1,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
3,2026-06-01 12:00:00,K1,P·O 42.5,warning,6,2.1,25.8,47.5,360,合格,2.3,【预警】游离氧化钙=2.1%，超过预警上限2.0%，超出0.10%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
4,2026-06-01 16:00:00,K1,P·O 42.5,unknown,5,1.9,27.1,49.0,368,合格,2.0,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
5,2026-06-01 20:00:00,K1,P·O 42.5,warning,6,2.3,24.9,46.8,355,合格,2.5,【预警】游离氧化钙=2.3%，超过预警上限2.0%，超出0.30%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
6,2026-06-02 08:00:00,K1,P·O 42.5,unknown,5,2.0,26.2,48.0,362,合格,2.2,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
7,2026-06-02 12:00:00,K1,P·O 42.5,critical,6,2.6,23.8,45.5,348,不合格,2.8,【严重】游离氧化钙=2.6%，超过严重上限2.5%，超出0.10%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
8,2026-06-02 16:00:00,K1,P·O 42.5,unknown,5,1.7,27.5,49.5,370,合格,1.9,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
9,2026-06-02 20:00:00,K1,P·O 42.5,warning,6,2.2,25.5,47.2,358,合格,2.4,【预警】游离氧化钙=2.2%，超过预警上限2.0%，超出0.20%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
10,2026-06-03 08:00:00,K1,P·O 42.5,unknown,5,1.6,28.0,50.1,372,合格,1.8,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
11,2026-06-03 12:00:00,K1,P·O 42.5,unknown,5,2.0,26.0,47.8,360,合格,2.2,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
12,2026-06-01 08:00:00,K2,P·II 52.5,unknown,5,1.2,32.0,58.5,380,合格,1.5,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
13,2026-06-01 12:00:00,K2,P·II 52.5,unknown,5,1.4,31.2,57.8,375,合格,1.7,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
14,2026-06-01 16:00:00,K2,P·II 52.5,unknown,5,1.1,32.8,59.2,385,合格,1.4,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
15,2026-06-01 20:00:00,K2,P·II 52.5,warning,6,1.6,30.5,56.5,370,合格,1.9,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【预警】28天抗压强度=56.5MPa，低于预警下限57.0MPa，低出0.50MPa。28天强度不达标属不合格品 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
16,2026-06-02 08:00:00,K2,P·II 52.5,unknown,5,1.3,31.8,58.2,378,合格,1.6,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
17,2026-06-02 12:00:00,K2,P·II 52.5,warning,6,1.8,29.8,55.0,365,不合格,2.1,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【预警】28天抗压强度=55.0MPa，低于预警下限57.0MPa，低出2.00MPa。28天强度不达标属不合格品 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
18,2026-06-02 16:00:00,K2,P·II 52.5,unknown,5,1.0,33.2,60.0,388,合格,1.3,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
19,2026-06-02 20:00:00,K2,P·II 52.5,unknown,5,1.5,31.0,57.5,373,合格,1.8,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
20,2026-06-03 08:00:00,K2,P·II 52.5,unknown,5,0.9,33.8,60.8,392,合格,1.2,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
21,2026-06-03 12:00:00,K2,P·II 52.5,unknown,5,1.3,31.5,58.0,377,合格,1.6,【配置缺失】指标f_cao无阈值配置 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
22,2026-06-01 09:00:00,K1,P·C 32.5,unknown,6,2.5,18.5,35.8,330,合格,2.8,【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置
23,2026-06-01 15:00:00,K1,P·C 32.5,unknown,6,2.8,17.2,34.2,325,合格,3.1,【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置
24,2026-06-02 09:00:00,K1,P·C 32.5,unknown,6,2.3,19.2,36.5,335,合格,2.6,【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置
25,2026-06-02 15:00:00,K1,P·C 32.5,unknown,6,3.2,15.8,32.5,315,不合格,3.5,【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置
26,2026-06-03 09:00:00,K1,P·C 32.5,unknown,6,2.2,19.8,37.0,338,合格,2.5,【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置 | 【配置缺失】品种P·C 32.5无阈值配置
